"Title","Release Year","Locations","Fun Facts","Production Company","Distributor","Director","Writer","Actor 1","Actor 2","Actor 3","Point","Longitude","Latitude","Analysis Neighborhood","Supervisor District","data_as_of","data_loaded_at"
"Goliath- Season 4","2021","740 Jackson St",,"Picrow, Inc.","Amazon Studios","Billy Bob Thornton, Lawrence Trilling, Derek Johansen","David E. Kelley, Jonathan Shapiro","Billy Bob Thornton","Nina Arianda","Tania Raymonde","POINT (-122.407433 37.796187)","-122.407433","37.796187","Chinatown","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"The Bachelor","1999","Pacific Stock Exchange (301 Pine Street at Sansome)",,"George Street Pictures","New Line Cinema","Gary Sinyor","Steve Cohen","Chris O'Donnell","Renee Zellweger",,"POINT (-122.4012865 37.791857)","-122.4012865","37.791857","Financial District/South Beach","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"When We Rise","2017","Castro Theatre, 429 Castro St.",,"Film 49 Productions","Amercian Broadcasting Company","Gus Van Sant","Dustin Lance Black","Guy Pierce","Mary-Louise Parker","Michael Kenneth Williams","POINT (-122.4347365 37.7619917)","-122.4347365","37.7619917","Castro/Upper Market","8","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Edtv","1999","Moose's Restaurant (1652 Stockton)",,"Imagine Entertainment","MCA / Universal Pictures","Ron Howard","Lowell Ganz","Matthew McConaughey","Jenna Elfman",,"POINT (-122.409141 37.8010729)","-122.409141","37.8010729","North Beach","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Ant-Man and the Wasp","2018","Jones St btwn Green and Pacific","Stunt scene involving car jump","PYM Particles Productions II, LLC","Walt Disney Studios Motion Pictures","Peyton Reed","Chris McKenna","Paul Rudd","Evangeline Lilly","Michael Douglas","POINT (-122.41491 37.79596)","-122.41491","37.79596","Nob Hill","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Ant-Man and the Wasp","2018","Lombard St btwn Polk and Leavenworth","Stunt driving scene","PYM Particles Productions II, LLC","Walt Disney Studios Motion Pictures","Peyton Reed","Chris McKenna","Paul Rudd","Evangeline Lilly","Michael Douglas","POINT (-122.4228188 37.8014683)","-122.4228188","37.8014683","Russian Hill","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"The Dead Pool","1988","Pierce St. & Golden Gate Avenue (Hayes Valley)",,"Warner Bros. Pictures","Warner Bros. Pictures","Buddy Van Horn","Harry Julian Fink","Clint Eastwood","Liam Neeson","Patricia Clarkson","POINT (-122.4352807 37.7791497)","-122.4352807","37.7791497","Western Addition","5","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Vertigo","1958","Mission Dolores (3321 16th Street, Mission District)","Mission Dolores' official name is Mission San Francisco de Assis. It is the oldest building in San Francisco, built in 1791, and has survived two major earthquakes.","Alfred J. Hitchcock Productions","Paramount Pictures","Alfred Hitchcock","Alec Coppel","James Stewart","Kim Novak","Barbara Bel Geddes","POINT (-122.4271581 37.7643792)","-122.4271581","37.7643792","Castro/Upper Market","8","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Ant-Man","2015","420 Jones St. at Ellis St.",,"PYM Particles Productions, LLC","Walt Disney Studios Motion Pictures","Peyton Reed","Gabriel Ferrari","Michael Douglas","Paul Rudd",,"POINT (-122.412723 37.7852042)","-122.412723","37.7852042","Tenderloin","5","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"The Ten Commandments","1956","St. Peter & Paul's Church (666 Filbert Street, Washington Square)","Exteriors of the church were used.","Paramount Pictures","Paramount Pictures","Cecil B. DeMille","Jesse L. Lasky, Jr.","Charlton Heston","Yul Brynner","Anne Baxter","POINT (-122.4101808 37.8016649)","-122.4101808","37.8016649","North Beach","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Etruscan Smile","2017","UCSF Mt Zion 1600 Divisadero",,"Po Valley Productions, LLC","TBD","Oded Binnun/ Michel Brezis","Sarah Bellwood, Michal Lali Kagan, Michael McGowan Amital Stern, Jose Luis Sampedro","Brian Cox","Roseanne Arquette","Thora Birch","POINT (-122.4391133 37.7849743)","-122.4391133","37.7849743","Japantown","5","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Nash Bridges","2021","950 Mason Street, Fairmont Hotel","Trevor Garriosn hosts party inside Fairmont Presidential Suite","Village NB Productions, LLC","USA Nework","Greg Beeman","Carlton Cuse, Bill Chais","Don Johnson","Cheech Marin","Joe Dinicol","POINT (-122.4100923 37.7923883)","-122.4100923","37.7923883","Nob Hill","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Milk","2008","El Camino Del Mar",,"Focus Features","Focus Features","Gus Van Sant","Dustin Lance Black","Sean Penn","Emile Hirsch",,"POINT (-122.4962354 37.7857806)","-122.4962354","37.7857806","Lincoln Park","1","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Red Widow","2013","Geary & 20th Ave",,"Beyond Pix","American Broadcasting Company (ABC)","Alon Aranya","Melissa Rosenberg","Radha Mitchell","Sterling Beaumon","Clifton Collins Jr.","POINT (-122.4794088 37.7804328)","-122.4794088","37.7804328","Outer Richmond","1","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Always Be My Maybe","2019","Haight St at Masonic",,"Isla Productions, LLC","Netflix","Nahnatchka Khan","Michael Golamco, Randall Park, Ali Wong","Ali Wong","Randall Park","Keanu Reeves","POINT (-122.4453785 37.770232)","-122.4453785","37.770232","Haight Ashbury","5","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Surface","2022","California Street between Mason and Powell",,"Apple Studios, LLC","Apple TV+","Sam Miller, Kevin Rodney Sullivan, Jennifer Morrison, Tucker Gates","Veronica West, Erica L. Anderson,Tony Saltzman, Glenise Mullins, Leigh Ann Biety, Dan Lee West, Leigh Ann Biety & Raven Jackson, Martín Zimmerman","Gugu Mbatha-Raw","Oliver Jackson-Cohen","Ari Graynor","POINT (-122.4152298 37.8052723)","-122.4152298","37.8052723","North Beach","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Foul Play","1978","24th and Castro Streets (Noe Valley)",,"Paramount Pictures","Paramount Pictures","Colin Higgins","Colin Higgins","Goldie Hawn","Chevy Chase","Burgess Meredith","POINT (-122.4341129 37.7513041)","-122.4341129","37.7513041","Noe Valley","8","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Flower Drum Song","1961","Golden Gate Bridge","With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937.","Fields Productions","Universal Pictures","Henry Koster","Joseph Fields","Nancy Kwan","James Shigeta","Benson Fong","POINT (-122.4785598 37.8199109)","-122.4785598","37.8199109",,,"2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Basic Instinct","1992","Steinhart Aquarium (California Academy of Sciences, Golden Gate Park)","The Steinhart Aquarium is home to over 38,000 animals, which represent more than 900 species.","Carolco Pictures","TriStar Pictures","Paul Verhoeven","Joe Eszterhas","Michael Douglas","Sharon Stone","George Dzundza","POINT (-122.4661345 37.7695812)","-122.4661345","37.7695812","Golden Gate Park","7","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Chance- Season 1 ep108","2016","Huntington Park",,"TVM Productions","HULU","Peter Elkoff and Victoria Morrow","Andrew Bernstein","Hugh Laurie","Gretchen Mol","Ethan Suplee","POINT (-122.4121403 37.7922657)","-122.4121403","37.7922657","Nob Hill","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"The Last Black Man in San Francisco","2019","California Street Hill btwn Jones and Larkin",,"LBMISF, LLC","A24","Joe Talbot","Joe Talbot, Jimmie Fails, Rob Richert","Jimmie Fails","Jonathan Majors","Danny Glover","POINT (-122.4144966 37.7921479)","-122.4144966","37.7921479","Nob Hill","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"The Phone/Jexi","2019","Broadway at Taylor",,"CBS Films Inc.","Lionsgate","Jon Lucas, Scott Moore","Jon Lucas, Scott Moore","Adam Devine","Alexandra Shipp","Michael Pena","POINT (-122.4135852 37.7970672)","-122.4135852","37.7970672","Nob Hill","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Tales of the City","2019","Macondray Ln and Taylor btwn Union and Green",,"Universal Television LLC","Netflix","Alan Poul, Silas Howard, Stacie Passon","Armistead Maupin, Lauren Morelli, Hansol Jung, Marcus Gardley","Laura Linney","Ellen Page","Murray Bartlett","POINT (-122.4156925 37.7991835)","-122.4156925","37.7991835","Russian Hill","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Bullitt","1968","Cesar Chavez & Mission Street (Mission)",,"Warner Brothers / Seven Arts Seven Arts","Warner Brothers","Peter Yates","Alan R. Trustman","Steve McQueen","Jacqueline Bisset","Robert Vaughn","POINT (-122.4182831 37.7481051)","-122.4182831","37.7481051","Bernal Heights","9","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Chance- Season 1 ep110","2016","Ocean Park Motel",,"TVM Productions","HULU","Alexandra Cunningham and Kem Nunn","Michael Lehmann","Hugh Laurie","Gretchen Mol","Ethan Suplee","POINT (-122.5038779 37.7363439)","-122.5038779","37.7363439","Sunset/Parkside","4","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Star Trek IV: The Voyage Home","1986","500 Block of Pacific Avenue (Chinatown)",,"Paramount Pictures","Paramount Pictures","Leonard Nimoy","Steve Meerson","William Shatner","Leonard Nimoy","George Takei","POINT (-122.4038481 37.7973677)","-122.4038481","37.7973677","North Beach","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Shang-Chi and the Legend of the Ten Rings","2021","Jones between Pine and O'Farrell",,"Freelance Restorations LLC","Disney/Marvel","Destin Daniel Cretton","Dave Callaham, Destin Daniel Cretton, Andrew Lanham","Simu Liu","Tony Chiu-Wai Leung","Awkwafina","POINT (-122.4141127 37.7905499)","-122.4141127","37.7905499","Nob Hill","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Pushing Dead","2016","915 Naples, San Francisco",,"Pushing Dead , LLC","TBD","Tom Brown","Tom Brown","Danny Glover","James Roday","Robin Weigert","POINT (-122.4353078 37.715051)","-122.4353078","37.715051","Excelsior","11","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"The Dead Pool","1988","Clementina & Sumner Streets",,"Warner Bros. Pictures","Warner Bros. Pictures","Buddy Van Horn","Harry Julian Fink","Clint Eastwood","Liam Neeson","Patricia Clarkson","POINT (-122.41002 37.775904)","-122.41002","37.775904","South of Market","6","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Goliath- Season 4","2021","Brocklebank Apartments, 1000 Mason St",,"Picrow, Inc.","Amazon Studios","Billy Bob Thornton, Lawrence Trilling, Derek Johansen","David E. Kelley, Jonathan Shapiro","Billy Bob Thornton","Nina Arianda","Tania Raymonde","POINT (-122.4106579 37.7931077)","-122.4106579","37.7931077","Nob Hill","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"A View to a Kill","1985","Taylor and Jefferson Streets (Fisherman's Wharf)",,"Metro-Goldwyn Mayer","MGM/UA Entertainment Company","John Glen","Richard Maibaum","Roger Moore","Christopher Walken","Tanya Roberts","POINT (-122.4155073 37.8083487)","-122.4155073","37.8083487","North Beach","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Etruscan Smile","2017","California Street between Sansome & Davis",,"Po Valley Productions, LLC","TBD","Oded Binnun/ Michel Brezis","Sarah Bellwood, Michal Lali Kagan, Michael McGowan Amital Stern, Jose Luis Sampedro","Brian Cox","Roseanne Arquette","Thora Birch",,,,,,"2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Sense8 - Season 2","2016","Spofford between Washington and Clay",,"Unpronounceable Productions, LLC","Netflix","Wachowski Siblings","J. Michael Straczynski, Wachowiski Siblings","Jamie Clayton","Daryl Hannah","Naveen Andrews",,,,,,"2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Surface","2022","Harrison Street at 1st Street",,"Apple Studios, LLC","Apple TV+","Sam Miller, Kevin Rodney Sullivan, Jennifer Morrison, Tucker Gates","Veronica West, Erica L. Anderson,Tony Saltzman, Glenise Mullins, Leigh Ann Biety, Dan Lee West, Leigh Ann Biety & Raven Jackson, Martín Zimmerman","Gugu Mbatha-Raw","Oliver Jackson-Cohen","Ari Graynor","POINT (-122.3929881 37.7860548)","-122.3929881","37.7860548","Financial District/South Beach","6","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Cardinal X","2015","1601 Lane St.",,"Fire Horse Film Productions LLC",,"Annie Wang","Annie Wang","Annie Q","Francesca Eastwood","Pierson Fode","POINT (-122.3897866 37.7318065)","-122.3897866","37.7318065","Bayview Hunters Point","10","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Shit and Champagne","2020","La Ferrera Terrace at Kearny St",,"Shaboom Boom, LLC",,"D'Arcy Drollinger","D'Arcy Drollinger","D'Arcy Drollinger","Matthew Martin","Steven LeMay","POINT (-122.4066953 37.8039343)","-122.4066953","37.8039343","North Beach","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Looking","2014","Castro St. from Market to 18th St.",,"Mission Street Productions, LLC","Home Box Office (HBO)","Andrew Haigh","Michael Lannan","Jonathan Groff","Frankie J. Alvarez","Murray Bartlett",,,,,,"2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Looking Season 2 ep 205","2015","534 Hyde Street",,"Mission Street Productions, LLC","HBO","Andrew Haigh","Michael Lannan","Jonathan Groff","Frankie Alvarez","Murray Bartlett","POINT (-122.4161084 37.7859698)","-122.4161084","37.7859698","Tenderloin","5","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Looking ""Special""","2016","Orphan Andy's, 3991 17th Street",,"Mission Street Productions, LLC","HBO","Andrew Haigh","Michael Lannan","Jonathan Groff","Frankie Alvarez","Murray Bartlett","POINT (-122.4348896 37.762326)","-122.4348896","37.762326","Castro/Upper Market","8","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"DEVS","2020","Mission at 20th St",,"Minim Productions","FX Network","Alex Garland","Alex Garland","Sonoya Mizuno","Nick Offerman","Jin Ha","POINT (-122.4190792 37.7586345)","-122.4190792","37.7586345","Mission","9","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Innerspace","1987","Telegraph Hill","Largely untouched by the 1906 earthquake, Telegraph Hill has the most pre-1870 buildings in the city.","Amblin Entertainment","Warner Bros. Pictures","Joe Dante","Chip Proser","Dennis Quaid","Martin Short","Meg Ryan","POINT (-122.4052612 37.8009425)","-122.4052612","37.8009425","North Beach","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"So I Married an Axe Murderer","1993","Aladdin Terrace (off of Taylor Street, Between Filbert and Union)",,"TriStar Pictures","TriStar Pictures","Thomas Schlamme","Robbie Fox","Mike Myers","Nancy Travis",,"POINT (-122.4135849 37.8003832)","-122.4135849","37.8003832","Russian Hill","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"The Phone/Jexi","2019","Sodini Restaurant - 510 Green St",,"CBS Films Inc.","Lionsgate","Jon Lucas, Scott Moore","Jon Lucas, Scott Moore","Adam Devine","Alexandra Shipp","Michael Pena","POINT (-122.4076843 37.7998345)","-122.4076843","37.7998345","North Beach","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Quitters","2015","Clement St. from 5th and 7th Ave.",,"Frederick & Ashbury, LLC.",,"Noah Pritzker","Noah Pritzker","Kara Hayward","Mira Sorvino","Saffron Burrows",,,,,,"2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"The OA Part II","2019","1001 Vallejo St",,"Lunar Mining LLC","Netflix","Zal Batmanglij","Zal Batmanglij, Brit Marling","Brit Marling","Emory Cohen","Patrick Gibson","POINT (-122.4139419 37.7977174)","-122.4139419","37.7977174","Nob Hill","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Bitter Melon","2018","600 Niagara Ave",,"Bitter Melon Film LLC/Mammoth Pictures","ABS-CBN, Gravitas Ventures","H.P. Mendoza","H.P. Mendoza","Jon Norman Schneider","Patrick Epino","Brian Rivera","POINT (-122.4493491 37.7203531)","-122.4493491","37.7203531","Oceanview/Merced/Ingleside","11","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Ant-Man and the Wasp: Quantumania","2023","601 Buena Vista West",,"Pym Particles Production III LLC","Walt Disney Studios Motion Pictures","Peyton Reed","Jeff Loveness","Paul Rudd","Evangeline Lilly","Jonathan Majors","POINT (-122.443956 37.7669343)","-122.443956","37.7669343","Haight Ashbury","8","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"So I Married an Axe Murderer","1993","Edinburgh Castle (950 Geary Street)",,"TriStar Pictures","TriStar Pictures","Thomas Schlamme","Robbie Fox","Mike Myers","Nancy Travis",,"POINT (-122.4189908 37.7862658)","-122.4189908","37.7862658","Tenderloin","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Tales of the City","2019","Lyon and Broadway",,"Universal Television LLC","Netflix","Alan Poul, Silas Howard, Stacie Passon","Armistead Maupin, Lauren Morelli, Hansol Jung, Marcus Gardley","Laura Linney","Ellen Page","Murray Bartlett","POINT (-122.4464706 37.792824)","-122.4464706","37.792824","Presidio","2","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"My Big Fat Chinese Christmas","2022","Pier 7 San Francisco",,"Hongbao Productions","Hallmark Channel","Jennifer Liao","Blaine Chiappetta ,Marguerite Henry, Justine Wentzell-Chang","Shannon Chan-Kent","Shannon Kook","Tia Carrere","POINT (-122.3956409 37.7993521)","-122.3956409","37.7993521","Financial District/South Beach","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"High Anxiety","1977","Hyatt Regency Hotel (5 Embarcadero Center)",,"Twentieth Century Fox Film Corporation","Twentieth Century Fox Film Corporation","Mel Brooks","Mel Brooks","Mel Brooks","Madeline Kahn","Cloris Leachman","POINT (-122.3956663 37.7942169)","-122.3956663","37.7942169","Financial District/South Beach","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Chu Chu and the Philly Flash","1981","Transbay Terminal (Mission Street at 1st Street)","Built in 1939, the Terminal linked San Francisco, the East Bay, and Sacramento by rail for the first time.","Melvin Simon Productions","Columbia Broadcasting System (CBS)","David Lowell Rich","Barbara Dana","Alan Arkin","Carol Burnett",,"POINT (-122.39658 37.79021)","-122.39658","37.79021","Financial District/South Beach","6","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Sense8 - Season 2","2016","Westerfeld House, 1198 Fulton St.","In the 1940's, the house became a 14-unit apartment building that housed jazz musicians including John Handy. This location serves as the hideout for the San Francisco-based character Nomi.","Unpronounceable Productions, LLC","Netflix","Wachowski Siblings","J. Michael Straczynski, Wachowiski Siblings","Jamie Clayton","Daryl Hannah","Naveen Andrews","POINT (-122.436447 37.7773209)","-122.436447","37.7773209","Western Addition","5","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Shang-Chi and the Legend of the Ten Rings","2021","Stockton and Bush",,"Freelance Restorations LLC","Disney/Marvel","Destin Daniel Cretton","Dave Callaham, Destin Daniel Cretton, Andrew Lanham","Simu Liu","Tony Chiu-Wai Leung","Awkwafina","POINT (-122.4071818 37.7903836)","-122.4071818","37.7903836","Nob Hill","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"The Enforcer","1976","Lefty O' Doul Drawbridge/ 3rd Street Bridge (3rd Street, China Basin)","This is SF's only drawbridge, and was named after Francis Joseph ""Lefty"" O'Doul, a local baseball hero.","Warner Bros. Pictures","Warner Bros. Pictures","James Fargo","Stirling Silliphant","Clint Eastwood","Tyne Daly","Harry Guardino","POINT (-122.3902572 37.7768525)","-122.3902572","37.7768525","Mission Bay","6","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Nash Bridges","2021","Pontiac Alley at Jackson",,"Village NB Productions, LLC","USA Nework","Greg Beeman","Carlton Cuse, Bill Chais","Don Johnson","Cheech Marin","Joe Dinicol","POINT (-122.4281232 37.7933145)","-122.4281232","37.7933145","Pacific Heights","2","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Herbie Rides Again","1974","Sheraton Palace Hotel (639 Market Street)","The hotel was destroyed in the 1906 earthquake and fire, had to be rebuilt, and was reopened in 1909.","Walt Disney Productions","Buena Vista Distribution","Robert Stevenson","Bill Walsh","Helen Hayes","Ken Berry","Stefanie Powers","POINT (-122.401987 37.7888172)","-122.401987","37.7888172","Financial District/South Beach","6","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Harold and Maude","1971","Conservatory of Flowers (Golden Gate Park)","The Conservatory, unveiled in 1879, is the oldest public conservatory in the Western Hemisphere.","Mildred Lewis and Colin Higgins Productions","Paramount Pictures","Hal Ashby","Colin Higgins","Ruth Gordon","Bud Cort",,"POINT (-122.4602558 37.7726187)","-122.4602558","37.7726187","Golden Gate Park","1","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Americana","2015","The San Francisco School (300 Gavin St.)",,"Sutro Films LLC",,"Zachary Shedd","Zachary Shedd","Kelli Garner","Jack Davenport","Peter Coyote","POINT (-122.4117295 37.7327965)","-122.4117295","37.7327965","Portola","9","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Etruscan Smile","2017","Benu Restaurant, 22 Hawthorne Street",,"Po Valley Productions, LLC","TBD","Oded Binnun/ Michel Brezis","Sarah Bellwood, Michal Lali Kagan, Michael McGowan Amital Stern, Jose Luis Sampedro","Brian Cox","Roseanne Arquette","Thora Birch","POINT (-122.3992069 37.7854381)","-122.3992069","37.7854381","Financial District/South Beach","6","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Looking","2014","Orphan Andy's",,"Mission Street Productions, LLC","Home Box Office (HBO)","Andrew Haigh","Michael Lannan","Jonathan Groff","Frankie J. Alvarez","Murray Bartlett","POINT (-122.4348896 37.762326)","-122.4348896","37.762326","Castro/Upper Market","8","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"San Andreas","2015","Clay St. at Taylor","3 characters walk down the street. An earthquake shakes the city and stuff starts breaking. One character gets a shard of glass stuck in his leg.","Upside Down Productions, Inc.","Warner Bros.","Brad Peyton","Allan Loeb","Dwayne Johnson",,,"POINT (-122.4128515 37.7934379)","-122.4128515","37.7934379","Nob Hill","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Looking","2014","Casa Lucas Market at 2934 24th St",,"Mission Street Productions, LLC","Home Box Office (HBO)","Andrew Haigh","Michael Lannan","Jonathan Groff","Frankie J. Alvarez","Murray Bartlett","POINT (-122.4106977 37.7528277)","-122.4106977","37.7528277","Mission","9","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Summertime","2015","Montgomery between California and Pine",,"Creative Monster Productions, Inc.","11 Distribution","Gabriele Muccino","Gabriele Muccino","Jessica Rothe","Scott Bakula","Matilda Anna Ingrid Lutz","POINT (-122.4035729 37.7892748)","-122.4035729","37.7892748","Financial District/South Beach","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"The Last Black Man in San Francisco","2019","Nevada St btwn Cortland and Jarboe Ave",,"LBMISF, LLC","A24","Joe Talbot","Joe Talbot, Jimmie Fails, Rob Richert","Jimmie Fails","Jonathan Majors","Danny Glover","POINT (-122.41131 37.74007)","-122.41131","37.74007","Bernal Heights","9","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Etruscan Smile","2017","Marriott Marquis, 780 Mission Street","The Marriott Marquis opened on October 17, 1989, the day of the Loma Prieta earthquake.[7] With better earthquake proofing than several nearby hotels, the building only lost a single window.[7]","Po Valley Productions, LLC","TBD","Oded Binnun/ Michel Brezis","Sarah Bellwood, Michal Lali Kagan, Michael McGowan Amital Stern, Jose Luis Sampedro","Brian Cox","Roseanne Arquette","Thora Birch","POINT (-122.4046939 37.7854871)","-122.4046939","37.7854871","Financial District/South Beach","6","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Shang-Chi and the Legend of the Ten Rings","2021","Caifornia, Mason, Powell, Joice St and Stockton",,"Freelance Restorations LLC","Disney/Marvel","Destin Daniel Cretton","Dave Callaham, Destin Daniel Cretton, Andrew Lanham","Simu Liu","Tony Chiu-Wai Leung","Awkwafina","POINT (-122.4093236 37.7920732)","-122.4093236","37.7920732","Nob Hill","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Chance- Season 1 ep107","2016","1461 Page St.",,"TVM Productions","HULU","Alexandra Cunningham and Kem Nunn","Michael Lehmann","Hugh Laurie","Gretchen Mol","Ethan Suplee","POINT (-122.4447997 37.7710486)","-122.4447997","37.7710486","Haight Ashbury","5","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Smile Again, Jenny Lee","2015","475 Diamond St.",,"Carlo Caldana/Marguery Films",,"Carlo Caldana","Linda Demetrick","Craig Tsuyumine","Puneet Prasad","Larry Kitagawa","POINT (-122.4365274 37.7548862)","-122.4365274","37.7548862","Noe Valley","8","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Etruscan Smile","2017","343 Union Street",,"Po Valley Productions, LLC","TBD","Oded Binnun/ Michel Brezis","Sarah Bellwood, Michal Lali Kagan, Michael McGowan Amital Stern, Jose Luis Sampedro","Brian Cox","Roseanne Arquette","Thora Birch","POINT (-122.4050849 37.8008088)","-122.4050849","37.8008088","North Beach","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Pretty Woman","1990",,,"Touchstone Pictures","Buena Vista Pictures","Garry Marshall","J.F. Lawton","Richard Gere","Julia Roberts",,,,,,,"2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Attack of the Killer Tomatoes","1978","Hyde Street Cable Car","SF Cable Cars are the only moving National Historical Landmark.","Four Square Productions","NAI Entertainment","John DeBello","John DeBello","David Miller",,,"POINT (-122.4210347 37.8068789)","-122.4210347","37.8068789","Russian Hill","2","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Class Action","1991","City Hall","The dome of SF's City Hall is almost a foot taller than that of the US Capitol Building. In 1954, Joe DiMaggio and Marilyn Monroe married at the Beaux Arts-style building.","Interscope Communications","Twentieth Century Fox Film Corp.","Michael Apted","Carolyn Shelby","Gene Hackman","Mary Elizabeth Mastrantonio",,"POINT (-122.4192417 37.779275)","-122.4192417","37.779275","Tenderloin","5","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"When a Man Loves a Woman","1994","Cybelle's Pizza (1000 Bush Street)",,"Touchstone Pictures","Buena Vista Pictures","Luis Mandoki","Ronald Bass","Andy Garcia","Meg Ryan",,"POINT (-122.4139182 37.789617)","-122.4139182","37.789617","Nob Hill","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"GirlBoss","2017","Grant between California and Washington",,"Hippolyta Productions, LLC","Netflix","Jamie Babbit, Amanda Brotchie, Steven K. Tsuchida, Christian Ditter, John Riggi","Kay Cannon","Britt Robertson","Ellie Reed","Amanda Rea","POINT (-122.4061681 37.7951101)","-122.4061681","37.7951101","Chinatown","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
