id,lat,lon,name,type,operator,route_ref,network,wheelchair,shelter,bench,bus,tram,subway,light_rail
node/6582300427,37.7407273,-122.4654509,Ulloa Street & West Portal Avenue,public_transport:stop_position,San Francisco Municipal Railway,,Muni,yes,,,yes,,,
node/6582318640,37.7718081,-122.4048099,Brannan Street & 8th Street,public_transport:stop_position,San Francisco Municipal Railway,,Muni,,,,yes,,,
node/6582318641,37.7717651,-122.4047548,Brannan Street & 8th Street,bus_stop,San Francisco Municipal Transportation Agency,17684,Muni,limited,,,yes,,,
node/6582454743,37.8067452,-122.406203,The Embarcadero & Bay Street,public_transport:stop_position,Golden Gate Transit,,GGT,,,,yes,,,
node/6582454744,37.8069057,-122.4063414,The Embarcadero & Bay Street,public_transport:stop_position,San Francisco Municipal Railway,,Muni,yes,,,yes,,,
node/6582454745,37.8068129,-122.4061526,The Embarcadero & Bay Street,public_transport:stop_position,San Francisco Municipal Railway,,Muni,yes,,,yes,,,
node/6582454746,37.8048153,-122.4029245,The Embarcadero & Sansome Street,public_transport:stop_position,San Francisco Municipal Railway,,Muni,yes,,,yes,,,
node/6582454747,37.804998,-122.4031788,The Embarcadero & Sansome Street,public_transport:stop_position,San Francisco Municipal Railway,,Muni,yes,,,yes,,,
node/6582454748,37.8032063,-122.4011951,The Embarcadero & Greenwich Street,public_transport:stop_position,San Francisco Municipal Railway,14515,Muni,yes,,,yes,,,
node/6582454749,37.8030066,-122.4010163,The Embarcadero & Greenwich Street,public_transport:stop_position,San Francisco Municipal Railway,,Muni,yes,,,yes,,,
node/6582454750,37.801243,-122.3994407,The Embarcadero & Green Street,public_transport:stop_position,San Francisco Municipal Railway,,Muni,yes,,,yes,,,
node/6582454751,37.800631,-122.3989015,The Embarcadero & Green Street,public_transport:stop_position,San Francisco Municipal Railway,,Muni,yes,,,yes,,,
node/6582454752,37.7995353,-122.3979453,The Embarcadero & Broadway,public_transport:stop_position,San Francisco Municipal Railway,,Muni,yes,,,yes,,,
node/6582454753,37.7989272,-122.3974095,The Embarcadero & Broadway,public_transport:stop_position,San Francisco Municipal Railway,,Muni,yes,,,yes,,,
node/6582454754,37.7970615,-122.3957556,The Embarcadero & Washington Street,public_transport:stop_position,San Francisco Municipal Railway,,Muni,yes,,,yes,,,
